GeneID	Classification	Specific tissues	Tau
F8388_017400	Tissue-Specific	Trichome	0.986564540206001
F8388_017461	Tissue-Specific	Seed	0.998516321769951
F8388_017498	Expressed-In-All		0.507657735578219
F8388_017501	Expressed-In-All		0.342157658556021
F8388_017511	Tissue-Specific	Root	0.980267062288325
F8388_017512	Tissue-Specific	Root	0.988862686871455
F8388_017520	Low_expressed		
F8388_017589	Low_expressed		
F8388_017613	Mixed		0.790516603738107
F8388_017614	Expressed-In-All		0.812107517513961
F8388_017615	Tissue-Specific	Trichome	0.997419791166637
F8388_017643	Mixed		0.849999531221331
F8388_017765	Low_expressed		
F8388_017766	Low_expressed		
F8388_018061	Expressed-In-All		0.164266465976115
F8388_018172	Mixed		0.784973577445116
F8388_018177	Expressed-In-All		0.512286093470633
F8388_018392	Low_expressed		
F8388_018646	Mixed		0.866114190633086
F8388_019068	Low_expressed		
F8388_019208	Tissue-Specific	Bast_Fibre	0.971375543296054
F8388_019340	Expressed-In-All		0.368144193188798
F8388_019419	Mixed		0.723432629581298
F8388_019551	Low_expressed		
F8388_019620	Mixed		0.665265657913109
F8388_019722	Mixed		0.747069061231327
F8388_019864	Tissue-Specific	Root	1
F8388_019928	Group-Enriched	Induced_male_flower; Flower_male	0.940962022855587
F8388_020069	Mixed		0.728423654134316
F8388_020071	Mixed		0.636979050660811
F8388_020072	Mixed		0.7806662749812
F8388_020074	Mixed		0.755687513903989
F8388_020167	Tissue-Specific	Seed	0.98492038178278
F8388_020168	Low_expressed		
F8388_020367	Expressed-In-All		0.260319368105613
F8388_020437	Mixed		0.749078205151354
F8388_020489	Low_expressed		
F8388_020643	Tissue-Specific	Trichome	0.957973609132681
F8388_020789	Low_expressed		
F8388_020899	Tissue-Specific	Leaf	0.890485016687516
F8388_020901	Expressed-In-All		0.43581585439411
F8388_020932	Expressed-In-All		0.527332597827236
F8388_021146	Expressed-In-All		0.452851793307473
F8388_021219	Low_expressed		
F8388_021265	Expressed-In-All		0.799355647999554
F8388_021266	Expressed-In-All		0.681811602705396
F8388_021268	Expressed-In-All		0.606773578533333
F8388_021269	Expressed-In-All		0.589857861146988
F8388_021275	Expressed-In-All		0.695039448041201
F8388_021290	Mixed		0.707799816050655
F8388_021298	Mixed		0.683296309503242
F8388_021299	Group-Enriched	Bast_Fibre; Stem	0.843991726851545
F8388_021300	Mixed		0.850928007399549
F8388_021302	Tissue-Specific	Root	0.995920092777646
F8388_021334	Low_expressed		
F8388_021529	Expressed-In-All		0.65945910686564
F8388_021617	Mixed		0.834564337412766
F8388_021975	Expressed-In-All		0.463809691308697
F8388_021998	Tissue-Specific	Root	0.988085762707564
F8388_021999	Expressed-In-All		0.703766541959031
F8388_022263	Mixed		0.789588902364181
F8388_022267	Low_expressed		
F8388_022289	Low_expressed		
F8388_022290	Low_expressed		
F8388_022291	Low_expressed		
F8388_022889	Expressed-In-All		0.426032107189754
F8388_022900	Expressed-In-All		0.444380049185603
F8388_023025	Tissue-Specific	Seed	0.984842547580329
F8388_023144	Mixed		0.87516638964701
F8388_023253	Low_expressed		
F8388_023311	Group-Enriched	Root; Trichome	0.965839550860822
F8388_023450	Low_expressed		
F8388_023451	Expressed-In-All		0.448280361681295
F8388_023671	Expressed-In-All		0.628046173980693
F8388_023847	Group-Enriched	Root; Trichome	0.921932569627584
F8388_024149	Expressed-In-All		0.738627118803233
F8388_024253	Mixed		0.672078881916909
F8388_024257	Expressed-In-All		0.432727327746393
F8388_024349	Low_expressed		
F8388_024441	Expressed-In-All		0.562490540125687
F8388_024525	Low_expressed		
F8388_024536	Tissue-Specific	Flower_male	0.979352465054657
F8388_024538	Mixed		0.7735376109477
F8388_024580	Mixed		0.765338485178879
F8388_024625	Expressed-In-All		0.857118960094606
F8388_024740	Low_expressed		
F8388_024747	Expressed-In-All		0.616865937024025
F8388_024786	Tissue-Specific	Root	0.907216146474741
F8388_024849	Tissue-Specific	Root	0.928275759908018
F8388_024853	Mixed		0.756269933908848
F8388_025130	Low_expressed		
F8388_025138	Expressed-In-All		0.5792226281857
F8388_025155	Expressed-In-All		0.893225064163198
F8388_025178	Expressed-In-All		0.757977458516236
F8388_025233	Tissue-Specific	Root	0.995482436270828
F8388_025279	Low_expressed		
F8388_025280	Mixed		0.56267218028151
F8388_025282	Expressed-In-All		0.803085028605088
F8388_025283	Tissue-Specific	Root	0.917054308876379
F8388_025388	Low_expressed		
F8388_025390	Tissue-Specific	Induced_male_flower	0.987534499645416
F8388_025421	Mixed		0.841444831602174
F8388_025422	Tissue-Specific	Trichome	0.929872827996014
F8388_025424	Mixed		0.855962909127175
F8388_025437	Expressed-In-All		0.264046159819935
F8388_025548	Low_expressed		
F8388_025549	Tissue-Specific	Trichome	0.999256205849528
F8388_025590	Expressed-In-All		0.360128010507944
F8388_025616	Tissue-Specific	Root	0.960428032120518
F8388_025697	Low_expressed		
F8388_025698	Low_expressed		
F8388_025700	Expressed-In-All		0.612388991205208
F8388_025727	Tissue-Specific	Root	0.999236789229274
F8388_025730	Low_expressed		
F8388_025732	Group-Enriched	Seed; Root	0.965625128079299
F8388_025733	Tissue-Specific	Seed	1
F8388_025791	Mixed		0.83998485723373
F8388_025797	Group-Enriched	Leaf; Flower_female	0.949227971392212
F8388_025816	Expressed-In-All		0.393859414926474
F8388_025848	Group-Enriched	Hypocotyl; Bast_Fibre	0.892323328420376
F8388_025935	Mixed		0.792090753960184
F8388_025945	Expressed-In-All		0.722146599385195
F8388_026056	Tissue-Specific	Hypocotyl	0.913664255167908
F8388_026074	Mixed		0.783582353845699
F8388_026277	Tissue-Specific	Bast_Fibre	0.919202156046307
F8388_026302	Expressed-In-All		0.507859240629491
F8388_026370	Mixed		0.589904690828827
F8388_026372	Mixed		0.807228809555108
F8388_026410	Expressed-In-All		0.762628092474103
F8388_026411	Mixed		0.817644480033616
F8388_026415	Mixed		0.817902588967097
F8388_026418	Mixed		0.79081100258479
F8388_026604	Expressed-In-All		0.634062392168383
F8388_026731	Low_expressed		
F8388_027180	Tissue-Specific	Trichome	0.991478742243096
F8388_027183	Mixed		0.793967629057769
F8388_027185	Mixed		0.881791553276599
F8388_027211	Tissue-Specific	Root	0.986240333816503
F8388_027212	Expressed-In-All		0.758015272038975
F8388_027213	Expressed-In-All		0.798689945091339
